gene_u,gene_v,score
G140,G141,0.9
G141,G142,0.9
G142,G143,0.9
G143,G144,0.9
G144,G145,0.9
G145,G146,0.9
G146,G147,0.9
G147,G148,0.9
G148,G149,0.9
G149,G150,0.9
G150,G151,0.9
G151,G152,0.9
G152,G153,0.9
G153,G154,0.9
G154,G155,0.9
G155,G156,0.9
G156,G157,0.9
G157,G158,0.9
G158,G159,0.9
G159,G160,0.9
G160,G161,0.9
G161,G162,0.9
G162,G163,0.9
G163,G164,0.9
G164,G165,0.9
G165,G166,0.9
G166,G167,0.9
G167,G168,0.9
G168,G169,0.9
G169,G170,0.9
G170,G171,0.9
G171,G172,0.9
G172,G173,0.9
G173,G174,0.9
G174,G175,0.9
G175,G176,0.9
G176,G177,0.9
G177,G178,0.9
G178,G179,0.9
G179,G180,0.9
G180,G181,0.9
G181,G182,0.9
G182,G183,0.9
G183,G184,0.9
G184,G185,0.9
G185,G186,0.9
G186,G187,0.9
G187,G188,0.9
G188,G189,0.9
G189,G190,0.9
G190,G191,0.9
G191,G192,0.9
G192,G193,0.9
G193,G194,0.9
G194,G195,0.9
G195,G196,0.9
G196,G197,0.9
G197,G198,0.9
G198,G199,0.9
G199,G200,0.9
G200,G201,0.9
G201,G202,0.9
G202,G203,0.9
G203,G204,0.9
G204,G205,0.9
G205,G206,0.9
G206,G207,0.9
G207,G208,0.9
G208,G209,0.9
G209,G210,0.9
G210,G211,0.9
G211,G212,0.9
G212,G213,0.9
G213,G214,0.9
G214,G215,0.9
G215,G216,0.9
G216,G217,0.9
G217,G218,0.9
G218,G219,0.9
G219,G220,0.9
G220,G221,0.9
G221,G222,0.9
G222,G223,0.9
G223,G224,0.9
G224,G225,0.9
G225,G226,0.9
G226,G227,0.9
G227,G228,0.9
G228,G229,0.9
G229,G230,0.9
G230,G231,0.9
G231,G232,0.9
G232,G233,0.9
G233,G234,0.9
G234,G235,0.9
G235,G236,0.9
G236,G237,0.9
G237,G238,0.9
G238,G239,0.9
G239,G240,0.9
G240,G241,0.9
G241,G242,0.9
G242,G243,0.9
G243,G244,0.9
G244,G245,0.9
G245,G246,0.9
G246,G247,0.9
G247,G248,0.9
G248,G249,0.9
G249,G250,0.9
G250,G251,0.9
G251,G252,0.9
G252,G253,0.9
G253,G254,0.9
G254,G255,0.9
G255,G256,0.9
G256,G257,0.9
G257,G258,0.9
G258,G259,0.9
G259,G260,0.9
G260,G261,0.9
G261,G262,0.9
G262,G263,0.9
G263,G264,0.9
G264,G265,0.9
G265,G266,0.9
G266,G267,0.9
G267,G268,0.9
G268,G269,0.9
G269,G270,0.9
G270,G271,0.9
G271,G272,0.9
G272,G273,0.9
G273,G274,0.9
G274,G275,0.9
G275,G276,0.9
G276,G277,0.9
G277,G278,0.9
G278,G279,0.9
G279,G280,0.9
G280,G281,0.9
G281,G282,0.9
G282,G283,0.9
G283,G284,0.9
G284,G285,0.9
G285,G286,0.9
G286,G287,0.9
G287,G288,0.9
G288,G289,0.9
G289,G290,0.9
G290,G291,0.9
G291,G292,0.9
G292,G293,0.9
G293,G294,0.9
G294,G295,0.9
G295,G296,0.9
G296,G297,0.9
G297,G298,0.9
G298,G299,0.9
G299,G300,0.9
G300,G301,0.9
G301,G302,0.9
G302,G303,0.9
G303,G304,0.9
G304,G305,0.9
G305,G306,0.9
G306,G307,0.9
G307,G308,0.9
G308,G309,0.9
G309,G310,0.9
G310,G311,0.9
G311,G312,0.9
G312,G313,0.9
G313,G314,0.9
G314,G315,0.9
G315,G316,0.9
G316,G317,0.9
G317,G318,0.9
G318,G319,0.9
G319,G320,0.9
G320,G321,0.9
G321,G322,0.9
G322,G323,0.9
G323,G324,0.9
G324,G325,0.9
G325,G326,0.9
G326,G327,0.9
G327,G328,0.9
G328,G329,0.9
G329,G330,0.9
G330,G331,0.9
G331,G332,0.9
G332,G333,0.9
G333,G334,0.9
G334,G335,0.9
G335,G336,0.9
G336,G337,0.9
G337,G338,0.9
G338,G339,0.9
G339,G340,0.9
G340,G341,0.9
G341,G342,0.9
G342,G343,0.9
G343,G344,0.9
G344,G345,0.9
G345,G346,0.9
G346,G347,0.9
G347,G348,0.9
G348,G349,0.9
G349,G350,0.9
G350,G351,0.9
G351,G352,0.9
G352,G353,0.9
G353,G354,0.9
G354,G355,0.9
G355,G356,0.9
G356,G357,0.9
G357,G358,0.9
G358,G359,0.9
G359,G360,0.9
G360,G361,0.9
G361,G362,0.9
G362,G363,0.9
G363,G364,0.9
G364,G365,0.9
G365,G366,0.9
G366,G367,0.9
G367,G368,0.9
G368,G369,0.9
G369,G370,0.9
G370,G371,0.9
G371,G372,0.9
G372,G373,0.9
G373,G374,0.9
G374,G375,0.9
G375,G376,0.9
G376,G377,0.9
G377,G378,0.9
G378,G379,0.9
G379,G380,0.9
G380,G381,0.9
G381,G382,0.9
G382,G383,0.9
G383,G384,0.9
G384,G385,0.9
G385,G386,0.9
G386,G387,0.9
G387,G388,0.9
G388,G389,0.9
G389,G390,0.9
G390,G391,0.9
G391,G392,0.9
G392,G393,0.9
G393,G394,0.9
G394,G395,0.9
G395,G396,0.9
G396,G397,0.9
G397,G398,0.9
G398,G399,0.9
G399,G400,0.9
G400,G401,0.9
G401,G402,0.9
G402,G403,0.9
G403,G404,0.9
G404,G405,0.9
G405,G406,0.9
G406,G407,0.9
G407,G408,0.9
G408,G409,0.9
G409,G410,0.9
G410,G411,0.9
G411,G412,0.9
G412,G413,0.9
G413,G414,0.9
G414,G415,0.9
G415,G416,0.9
G416,G417,0.9
G417,G418,0.9
G418,G419,0.9
G419,G420,0.9
G420,G421,0.9
G421,G422,0.9
G422,G423,0.9
G423,G424,0.9
G424,G425,0.9
G425,G426,0.9
G426,G427,0.9
G427,G428,0.9
G428,G429,0.9
G429,G430,0.9
G430,G431,0.9
G431,G432,0.9
G432,G433,0.9
G433,G434,0.9
G434,G435,0.9
G435,G436,0.9
G436,G437,0.9
G437,G438,0.9
G438,G439,0.9
G439,G440,0.9
G440,G441,0.9
G441,G442,0.9
G442,G443,0.9
G443,G444,0.9
G444,G445,0.9
G445,G446,0.9
G446,G447,0.9
G447,G448,0.9
G448,G449,0.9
G449,G450,0.9
G450,G451,0.9
G451,G452,0.9
G452,G453,0.9
G453,G454,0.9
G454,G455,0.9
G455,G456,0.9
G456,G457,0.9
G457,G458,0.9
G458,G459,0.9
G459,G460,0.9
G460,G461,0.9
G461,G462,0.9
G462,G463,0.9
G463,G464,0.9
G464,G465,0.9
G465,G466,0.9
G466,G467,0.9
G467,G468,0.9
G468,G469,0.9
G469,G470,0.9
G470,G471,0.9
G471,G472,0.9
G472,G473,0.9
G473,G474,0.9
G474,G475,0.9
G475,G476,0.9
G476,G477,0.9
G477,G478,0.9
G478,G479,0.9
G479,G480,0.9
G480,G481,0.9
G481,G482,0.9
G482,G483,0.9
G483,G484,0.9
G484,G485,0.9
G485,G486,0.9
G486,G487,0.9
G487,G488,0.9
G488,G489,0.9
G489,G490,0.9
G490,G491,0.9
G491,G492,0.9
G492,G493,0.9
G493,G494,0.9
G494,G495,0.9
G495,G496,0.9
G496,G497,0.9
G497,G498,0.9
G498,G499,0.9
G499,G500,0.9
G500,G501,0.9
G501,G502,0.9
G502,G503,0.9
G503,G504,0.9
G504,G505,0.9
G505,G506,0.9
G506,G507,0.9
G507,G508,0.9
G508,G509,0.9
G509,G510,0.9
G510,G511,0.9
G511,G512,0.9
G512,G513,0.9
G513,G514,0.9
G514,G515,0.9
G515,G516,0.9
G516,G517,0.9
G517,G518,0.9
G518,G519,0.9
G519,G520,0.9
G520,G521,0.9
G521,G522,0.9
G522,G523,0.9
G523,G524,0.9
G524,G525,0.9
G525,G526,0.9
G526,G527,0.9
G527,G528,0.9
G528,G529,0.9
G529,G530,0.9
G530,G531,0.9
G531,G532,0.9
G532,G533,0.9
G533,G534,0.9
G534,G535,0.9
G535,G536,0.9
G536,G537,0.9
G537,G538,0.9
G538,G539,0.9
G539,G540,0.9
G540,G541,0.9
G541,G542,0.9
G542,G543,0.9
G543,G544,0.9
G544,G545,0.9
G545,G546,0.9
G546,G547,0.9
G547,G548,0.9
G548,G549,0.9
G549,G550,0.9
G550,G551,0.9
G551,G552,0.9
G552,G553,0.9
G553,G554,0.9
G554,G555,0.9
G555,G556,0.9
G556,G557,0.9
G557,G558,0.9
G558,G559,0.9
G559,G560,0.9
G560,G561,0.9
G561,G562,0.9
G562,G563,0.9
G563,G564,0.9
G564,G565,0.9
G565,G566,0.9
G566,G567,0.9
G567,G568,0.9
G568,G569,0.9
G569,G570,0.9
G570,G571,0.9
G571,G572,0.9
G572,G573,0.9
G573,G574,0.9
G574,G575,0.9
G575,G576,0.9
G576,G577,0.9
G577,G578,0.9
G578,G579,0.9
G579,G580,0.9
G580,G581,0.9
G581,G582,0.9
G582,G583,0.9
G583,G584,0.9
G584,G585,0.9
G585,G586,0.9
G586,G587,0.9
G587,G588,0.9
G588,G589,0.9
G589,G590,0.9
G590,G591,0.9
G591,G592,0.9
G592,G593,0.9
G593,G594,0.9
G594,G595,0.9
G595,G596,0.9
G596,G597,0.9
G597,G598,0.9
G598,G599,0.9
G593,G563,0.8641099758565687
G518,G540,0.7150883720437274
G574,G128,0.8546276716284362
G318,G155,0.9224281423411891
G225,G473,0.9085291532000555
G50,G430,0.832159081719483
G49,G153,0.7472630303247175
G45,G368,0.7349492007463061
G99,G584,0.8460735297075851
G184,G270,0.706553058579697
G527,G541,0.9206053213763841
G323,G570,0.8867558273510232
G430,G286,0.7568686926580346
G564,G416,0.9079442636023158
G259,G462,0.7678638012461376
G391,G420,0.831762551550881
G552,G186,0.9240964223054613
G204,G263,0.8707764578939328
G248,G133,0.7068941188554325
G512,G196,0.8531198280412234
G16,G167,0.7930898619549597
G81,G161,0.7580244344182036
G29,G118,0.9374876921777152
G16,G19,0.8572323353422542
G512,G152,0.9042559877425861
G226,G478,0.82622293783514
G567,G136,0.8163029898500718
G109,G451,0.8021077859122023
G449,G50,0.7555222076549579
G132,G392,0.7962860065385335
G208,G28,0.8067804957764577
G450,G542,0.7785630715709073
G226,G562,0.8996541965811857
G236,G241,0.8427720340133046
G312,G341,0.7538913322069197
G350,G239,0.7604782452658884
G73,G218,0.9230764043882707
G445,G124,0.949531654330667
G25,G316,0.8427741628979761
G376,G333,0.7326594367996507
G344,G246,0.7327371698228142
G79,G191,0.8663184306081958
G218,G117,0.8306509858047846
G381,G292,0.7164628556354797
G383,G461,0.8571938938352408
G224,G250,0.7032486650091638
G293,G120,0.9206867288832238
G360,G580,0.8078550560398043
G519,G218,0.8306205453867144
G583,G558,0.7086129929055376
G49,G358,0.9148263579313307
G570,G495,0.8136820514222368
G119,G69,0.7995589568496266
G70,G516,0.8650377698046168
G225,G481,0.7868998311847435
G19,G510,0.8298917010982184
G491,G441,0.7496871676005387
G9,G513,0.7881072889638396
G164,G478,0.8161094750984652
G14,G500,0.9284127204982808
G130,G534,0.8266524462870926
G299,G230,0.7895383034815655
G71,G488,0.8742260293945664
G584,G5,0.7286354758429591
G85,G106,0.9382496175867663
G327,G299,0.8195992467988373
G57,G207,0.8120647740450027
G445,G96,0.7423660861681792
G323,G516,0.7178841146543622
G243,G65,0.8128911052846753
G474,G274,0.7500691250139974
G573,G418,0.8437760660711109
G86,G69,0.7282496330467989
G558,G356,0.881934809101551
G227,G152,0.8054191110533
G533,G496,0.7139820356400335
G518,G481,0.9296391390102194
G532,G134,0.8485353279185187
G494,G40,0.8898339255876895
G50,G401,0.7980302296084413
G193,G325,0.8303548019759618
G14,G394,0.7257576180757048
G148,G80,0.7145496349869073
G96,G529,0.9394811186398453
G43,G460,0.929039671954127
G325,G214,0.9044859952620412
G252,G532,0.8353873865498407
G396,G17,0.710391355475786
G124,G145,0.8545338060144039
G422,G501,0.7275181672787392
G306,G556,0.73880095074098
G447,G267,0.7163584981195649
G363,G423,0.9295705118307664
G102,G300,0.7963714855379177
G464,G164,0.7520095923151875
G215,G165,0.8622820747952462
G426,G326,0.7416893964067972
G25,G454,0.765709582370515
G117,G398,0.8398060277519975
G145,G544,0.8008918671912564
G80,G432,0.8697828680006596
G139,G176,0.827902470128282
G153,G586,0.7212108011915946
G275,G374,0.7322801315374547
G50,G418,0.8198796196173914
G408,G555,0.7469473380541123
G531,G1,0.8956321354789515
G44,G399,0.8585770456118003
G260,G363,0.8634143112213716
G27,G313,0.7659606549413491
G541,G540,0.8829895643218535
G417,G198,0.7933495053475178
G518,G590,0.7685142971845829
G77,G327,0.7243483484756505
G85,G41,0.7449381810707799
G418,G574,0.9009771040832673
G19,G372,0.8150141705343157
G483,G444,0.8664778763719936
G123,G10,0.7025478708761264
G279,G45,0.9151543227659512
G221,G132,0.9192496586900654
G174,G31,0.8288971131834758
G546,G340,0.7533215906797276
G195,G345,0.7003479604218288
G237,G203,0.9498184928109019
G392,G166,0.7352869413455345
G123,G328,0.7255366251877697
G598,G163,0.7987509797636678
G216,G121,0.8334960349595997
G592,G135,0.7185894078555011
G90,G309,0.9373125206524409
G120,G194,0.8261327655780454
G587,G215,0.8393230390614855
G535,G339,0.7956036889822395
G374,G364,0.8348153536502846
G259,G453,0.7385923253835828
G214,G418,0.8484831481746276
G206,G363,0.7746264616298715
G469,G464,0.7700779338214516
G553,G555,0.7079241982091748
G51,G220,0.8049780941107101
G77,G279,0.7135608977104492
G139,G400,0.7374846059720068
G567,G209,0.8440011185096058
G365,G9,0.7395272637992558
G118,G279,0.8241268165702096
G291,G295,0.7819788377897197
G174,G199,0.8501689815568491
G185,G591,0.8044093011698055
G538,G499,0.7649632709340823
G205,G512,0.8011839088457264
G100,G267,0.8559486355580139
G384,G232,0.7011165859682686
G539,G519,0.8271387350376964
G77,G198,0.8771551353664272
G426,G386,0.7207540050296799
G209,G596,0.936750958839731
G263,G490,0.8864082637407789
G515,G312,0.9285167156842492
G470,G272,0.758033368274726
G532,G368,0.9149712368956112
G233,G434,0.9200453652584706
G184,G13,0.7849213363054309
G374,G324,0.7306728879091728
G64,G141,0.7524472398800524
G501,G448,0.9194556653608289
G400,G543,0.7774155503072604
G74,G438,0.7151393549861376
G116,G483,0.88264739179862
G596,G65,0.8515458510647682
G427,G114,0.7121088894743902
G338,G122,0.7223170477997897
G81,G316,0.9170165210943572
G65,G499,0.9125487068973157
G46,G71,0.7537757343515332
G406,G81,0.8410758375431572
G511,G502,0.8894844262025785
G292,G218,0.705298196437744
G40,G50,0.8364099459814522
G9,G135,0.8110843172417534
G304,G570,0.8716280969076845
G358,G32,0.7431328053649988
G317,G2,0.7457212963511546
G276,G79,0.7986396818483776
G66,G172,0.7799244008089925
G334,G557,0.8623012780019548
G107,G397,0.9424172266317559
G38,G76,0.7684310139795258
G134,G564,0.8395352262360624
G487,G167,0.8721703129531642
G429,G531,0.7853912853571783
G504,G266,0.9239103944112728
G586,G318,0.8195454236840019
G220,G487,0.8584455055465086
G330,G217,0.9443286667586417
G573,G558,0.700838671854672
G205,G433,0.8354891379977541
G6,G398,0.8205824897291318
G46,G450,0.9396009993734746
G593,G433,0.769018243345311
G254,G334,0.806383970012333
G554,G244,0.8934277031101912
G148,G328,0.7937151376937512
G254,G527,0.8821912281307505
G154,G66,0.7558848660554613
G299,G391,0.7817398446223771
G147,G174,0.9411245505530916
G37,G479,0.7547646826606256
G271,G523,0.9039852658703533
G275,G419,0.8560751289146664
G231,G74,0.8761515781186447
G291,G264,0.8790932613056538
G48,G500,0.7813148703578308
G359,G588,0.9115481448622353
G505,G362,0.8148851149101681
G48,G554,0.7018932284723287
G79,G337,0.8760085675262239
G569,G56,0.9291126547369504
G245,G516,0.7216254445033002
G161,G250,0.9354861814118183
G92,G393,0.7618919508124968
G219,G531,0.7649238579590907
G433,G328,0.8494192782587426
G408,G452,0.8186136993751176
G342,G238,0.7450609217479218
G439,G46,0.8044960223226383
G142,G328,0.7511263096223335
G112,G124,0.9470051597141864
G374,G518,0.7715020122888927
G225,G167,0.7796989211860712
G318,G44,0.8133456870580917
G192,G203,0.7885358433002321
G308,G80,0.9262733503869764
G300,G348,0.8601273731194041
G588,G405,0.7828365146428057
G271,G378,0.8134698732042487
G48,G254,0.7222946362880464
G92,G38,0.9132886516277888
G479,G486,0.9227310403444877
G456,G424,0.9213990448933838
G437,G398,0.7590947501611534
G118,G240,0.7854993021798184
G470,G72,0.7176199245891421
G123,G302,0.7094617918959243
G279,G356,0.745987056314
G327,G384,0.8756771748326755
G250,G101,0.9457485394355565
G194,G275,0.7744367904886182
G147,G283,0.8915396099232279
G7,G300,0.7292064319565241
G423,G300,0.7047347581303736
G508,G300,0.9125692577613894
G325,G160,0.8689884246184024
G247,G29,0.7590793726461579
G484,G242,0.7912557056638329
G242,G45,0.8175934441284425
G276,G408,0.7582614748183383
G433,G434,0.7780937828382533
G378,G215,0.8169088496082073
G259,G138,0.8694754439098858
G305,G141,0.8222998694504493
G56,G172,0.8844201775457019
G375,G88,0.8823401575900602
G300,G295,0.7715361516891648
G213,G294,0.8479284922140506
G404,G191,0.865523436951536
G444,G51,0.7655062055478055
G58,G390,0.7887354843957848
G134,G145,0.9029521431179783
G339,G234,0.7843559698676207
G388,G344,0.827292267339036
G158,G364,0.9187168026748549
G244,G438,0.8361549480127175
G576,G36,0.9259652330431483
G595,G481,0.7482509699759411
G452,G324,0.7711692035938965
G96,G428,0.7212179855934756
G100,G281,0.8781186957651701
G6,G205,0.9409763754435807
G416,G498,0.9490534470263219
G360,G250,0.8507503969316513
G385,G363,0.9327219725245639
G133,G496,0.7881842568725483
G266,G21,0.8537203464329346
G586,G590,0.8683125087944169
G429,G28,0.8440633274227162
G440,G176,0.9462260063025025
G129,G106,0.8836439166113715
G162,G500,0.7820411122992026
G430,G401,0.9405025039030394
G538,G584,0.891491948006066
G245,G26,0.785787366772241
G529,G21,0.854994254771286
G95,G37,0.7402796542233998
G222,G206,0.7352567378460084
G275,G114,0.902126540686533
G454,G44,0.7943379614779094
G295,G583,0.8625155376626155
G222,G177,0.8902645583395573
G289,G342,0.9367555559764514
G408,G514,0.7319214186975844
G344,G515,0.9284191169513105
G122,G333,0.7802396880582676
G344,G314,0.7387212190438266
G501,G75,0.788165411148174
G253,G101,0.9253895439681815
G204,G518,0.8504067496096218
G99,G193,0.8802015095395257
G532,G390,0.9038116382167684
G544,G364,0.9015243626759559
G38,G185,0.8208493499935827
G419,G528,0.7420647094034886
G170,G128,0.7743112203326284
G218,G118,0.8216657667239687
G202,G439,0.868262261712799
G584,G222,0.8891364447487352
G61,G433,0.8725653738695608
G592,G329,0.7784669812970073
G139,G571,0.7390116813890724
G525,G453,0.8783033068784496
G395,G158,0.8310461210436215
G37,G366,0.7804275185189256
G120,G122,0.8804476923567974
G570,G61,0.914492011766006
G171,G381,0.8566397200343272
G275,G365,0.8101737631603849
G347,G43,0.8473290394530274
G567,G48,0.7223922147004382
G136,G8,0.7844704150408739
G106,G415,0.7424006793186267
G406,G556,0.9396479603878524
G470,G116,0.7747904523314304
G203,G497,0.8799510901219583
G561,G540,0.8206992998020408
G299,G587,0.8893595893978419
G72,G188,0.8155181043142365
G395,G345,0.7568737228031863
G429,G281,0.8377367714022604
G377,G114,0.7159534487576337
G357,G0,0.7862173486814007
G128,G185,0.7269915434659664
G226,G428,0.8609275742427078
G393,G432,0.8036290046021953
G248,G131,0.7044519797607327
G587,G141,0.8759076322777862
G268,G352,0.882534940852689
G528,G474,0.8619950432934134
G6,G215,0.7347448018012589
G205,G477,0.9272741242817604
G500,G498,0.8870754611091175
G525,G17,0.7853204057003084
G482,G582,0.909973584293073
G206,G152,0.829966716452038
G103,G507,0.7706761766547742
G580,G14,0.7249468036507055
G571,G410,0.7799761974936157
G47,G283,0.7392820561291944
G35,G55,0.7691643597424971
G470,G303,0.8857332564333763
G564,G4,0.8382758788405559
G459,G342,0.8351877096905295
G560,G226,0.8254113975796328
G82,G526,0.7427918810188638
G153,G330,0.7449677992840991
G79,G33,0.74753289155179
G125,G433,0.9475893801394684
G215,G557,0.8728055321377283
G441,G202,0.7951194054217495
G293,G533,0.9346169382679927
G26,G333,0.8918293623562099
G422,G438,0.7144052643592843
G260,G396,0.9487434650114702
G577,G490,0.8582967161821788
G218,G48,0.7236953788712808
G252,G311,0.8822156598584506
G25,G127,0.9024543921219242
G194,G382,0.7738968822925368
G475,G304,0.8547055539936705
G430,G508,0.8259407747526376
G250,G146,0.8104444815110229
G249,G450,0.7643916872662526
G167,G155,0.922803789868076
G368,G116,0.9251991369676695
G114,G366,0.7919866941483531
G525,G262,0.8052697770962828
G95,G174,0.8275726247152372
G310,G167,0.8588503961917902
G109,G152,0.9335747015980003
G422,G526,0.8181578173091142
G31,G59,0.7285916255620257
G234,G69,0.8539219761818961
G26,G16,0.8369913281443042
G510,G43,0.889599697916332
G542,G354,0.7335308184314024
G170,G305,0.8230854186077936
G45,G142,0.8902571749470299
G10,G585,0.880343120026176
G525,G106,0.7388835610699134
G10,G292,0.8668703662253466
G224,G248,0.732445980246841
G574,G53,0.7513778514794581
G202,G227,0.8523865898317315
G8,G377,0.7638670247344036
G87,G408,0.7234552716803636
G227,G289,0.787248952182098
G265,G55,0.7123751628415556
G26,G167,0.7553484841995795
G157,G84,0.7147043278173502
G98,G252,0.788379080519286
G551,G593,0.7892882385898772
G559,G549,0.8126783641887011
G206,G478,0.7362744007516058
G242,G366,0.8594199043154768
G150,G44,0.860929757303889
G318,G164,0.8533603565241654
G454,G198,0.9184165152253683
G142,G41,0.9179878787462483
G245,G23,0.8540713930028121
G67,G117,0.7501328052776167
G73,G519,0.9328012484017597
G594,G121,0.8128749269475035
G364,G195,0.8457443545591556
G151,G168,0.7051204640202734
G442,G327,0.7236158985515683
G122,G391,0.8987340566023292
G44,G406,0.9285983430042231
G439,G287,0.821443982239683
G558,G534,0.8688152258322627
G433,G172,0.767187171937159
G180,G317,0.8894017370264407
G442,G314,0.890624299954613
G360,G116,0.7869724117876071
G592,G547,0.8417294802713332
G98,G199,0.9489523152782985
G548,G536,0.8328142531211074
G114,G511,0.7935303824199073
G311,G415,0.9191499476702365
G468,G382,0.9391291616687815
G8,G407,0.7186149289176496
G37,G488,0.7881570901032672
G18,G313,0.9329159484676272
G108,G187,0.9224176192770934
G565,G524,0.8065029276153983
G104,G201,0.7421571048226225
G221,G298,0.8826430304321982
G296,G569,0.8094077391833291
G138,G338,0.7092645670967352
G378,G521,0.8426527201717551
G598,G185,0.904124838998526
G284,G540,0.7550406369683605
G202,G504,0.8412230203895443
G334,G435,0.778787403767441
G482,G523,0.7218833865977817
G310,G467,0.9159544546718315
G246,G6,0.7602315196518753
G50,G249,0.8927861964595051
G379,G334,0.9009277164050273
G256,G377,0.70826372517705
G153,G303,0.9005035961761618
G410,G145,0.7562516899808311
G461,G377,0.7156008329810025
G42,G121,0.7324575833186489
G31,G578,0.8875821352004625
G232,G547,0.944208420433374
G280,G111,0.7610758550918749
G594,G45,0.9014409374517263
G585,G30,0.8876571100677106
G53,G107,0.8862638580318948
G256,G463,0.7038498387832534
G512,G0,0.9053960434710627
G363,G484,0.7708787131904848
G68,G18,0.9263825193574178
G256,G498,0.7002051124938052
G180,G115,0.7855206459002984
G353,G499,0.8370247472883059
G496,G81,0.837218783640534
G52,G218,0.8840804251536477
G303,G30,0.8679242493758592
G476,G344,0.9282296927523425
G509,G498,0.8256834374824829
G500,G567,0.9342783864173317
G413,G578,0.8176454156628477
G195,G400,0.9048702526169016
G85,G549,0.847927180195754
G486,G177,0.7889257450434982
G289,G423,0.8852621122555003
G303,G325,0.773089369075749
G253,G578,0.7594282162858008
G158,G92,0.9491274109293283
G148,G280,0.9273422163724834
G415,G49,0.7580166713048935
G51,G56,0.8606342225800869
G286,G398,0.7727407862871447
G56,G108,0.8149592090781792
G500,G563,0.7156582629483452
G198,G215,0.9339536090800511
G179,G461,0.9127547607092439
G77,G501,0.8552162863735244
G251,G412,0.7884413671598183
G556,G251,0.8196076482172175
G587,G210,0.760047200477084
G482,G123,0.7137395305369061
G251,G585,0.9170367002164186
G21,G349,0.7903002397618447
G536,G308,0.9434397562836886
G392,G554,0.9175225664930551
G531,G104,0.8142822468391899
G471,G72,0.7338548767718526
G175,G6,0.7619520495724854
G104,G528,0.8233450423278832
G364,G578,0.800599756494202
G224,G369,0.7674007157808674
G558,G561,0.7248744439230488
G17,G282,0.8259038343189519
G513,G177,0.8452811353106855
G229,G593,0.8050379179814185
G247,G22,0.8477499402212318
G353,G243,0.7101031786934623
G369,G421,0.9224282309516132
G537,G473,0.8808730428461152
G81,G64,0.8610736871476452
G584,G237,0.8187348489501303
G431,G537,0.9029762568343249
G597,G458,0.9192980050670715
G79,G179,0.7278632108834926
G155,G388,0.8665501904825141
G458,G123,0.8997034368542411
G517,G5,0.8103625715813922
G539,G332,0.8038667559805025
G546,G349,0.9067827384808244
G567,G545,0.7411816871529019
G280,G192,0.759167207062169
G49,G250,0.766654687140029
G582,G570,0.7592501193923542
G342,G508,0.9359415703480848
G255,G564,0.8343627317551391
