sample_id,drug,response
S133,Docetaxel,0
S134,Docetaxel,1
S135,Docetaxel,1
S136,Docetaxel,1
S137,Docetaxel,1
S138,Docetaxel,1
S139,Docetaxel,1
S140,Docetaxel,1
S141,Docetaxel,0
S142,Docetaxel,0
S143,Docetaxel,1
S144,Docetaxel,0
S145,Docetaxel,0
S146,Docetaxel,1
S147,Docetaxel,1
S148,Docetaxel,1
S149,Docetaxel,1
S150,Docetaxel,1
S151,Docetaxel,0
S152,Docetaxel,1
S153,Docetaxel,1
S154,Docetaxel,1
S155,Docetaxel,0
S156,Docetaxel,1
S157,Docetaxel,0
S158,Docetaxel,0
S159,Docetaxel,1
S160,Docetaxel,1
S161,Docetaxel,1
S162,Docetaxel,1
S163,Docetaxel,0
S164,Docetaxel,0
S165,Docetaxel,0
S166,Docetaxel,1
S167,Docetaxel,0
S168,Docetaxel,0
S169,Docetaxel,0
S170,Docetaxel,1
S171,Docetaxel,1
S172,Docetaxel,1
S173,Docetaxel,0
S174,Docetaxel,1
S175,Docetaxel,1
S176,Docetaxel,0
S177,Docetaxel,0
S178,Docetaxel,0
S179,Docetaxel,0
S180,Docetaxel,0
S181,Docetaxel,1
S182,Docetaxel,0
S183,Docetaxel,1
S184,Docetaxel,0
S185,Docetaxel,0
S186,Docetaxel,1
S187,Docetaxel,0
S188,Docetaxel,0
S189,Docetaxel,1
S190,Docetaxel,1
S191,Docetaxel,1
S192,Docetaxel,1
S193,Docetaxel,1
S194,Docetaxel,0
S195,Docetaxel,0
S196,Docetaxel,1
S197,Docetaxel,1
S198,Docetaxel,1
S199,Docetaxel,0
S200,Docetaxel,1
S201,Docetaxel,1
S202,Docetaxel,0
S203,Docetaxel,0
S204,Docetaxel,0
S205,Docetaxel,0
S206,Docetaxel,1
S207,Docetaxel,1
S208,Docetaxel,1
S209,Docetaxel,0
S210,Docetaxel,1
S211,Docetaxel,1
S212,Docetaxel,0
S213,Docetaxel,1
S214,Docetaxel,0
S215,Docetaxel,0
S216,Docetaxel,0
S217,Docetaxel,0
S218,Docetaxel,0
S219,Docetaxel,0
S220,Docetaxel,0
S221,Docetaxel,0
S222,Docetaxel,1
S223,Docetaxel,0
S224,Docetaxel,0
S225,Docetaxel,1
S226,Docetaxel,1
S227,Docetaxel,1
S228,Docetaxel,1
S229,Docetaxel,1
S230,Docetaxel,1
S231,Docetaxel,1
S232,Docetaxel,1
S233,Docetaxel,0
S234,Docetaxel,1
S235,Docetaxel,0
S236,Docetaxel,0
S237,Docetaxel,1
S238,Docetaxel,0
S239,Docetaxel,0
S240,Docetaxel,0
S241,Docetaxel,0
S242,Docetaxel,1
S243,Docetaxel,0
S244,Docetaxel,0
S245,Docetaxel,0
S246,Docetaxel,0
S247,Docetaxel,0
S248,Docetaxel,1
S249,Docetaxel,0
S250,Docetaxel,0
S251,Docetaxel,0
S252,Docetaxel,1
S253,Docetaxel,0
S254,Docetaxel,1
S255,Docetaxel,1
S256,Docetaxel,0
S257,Docetaxel,1
S258,Docetaxel,1
S259,Docetaxel,0
S260,Docetaxel,1
S261,Docetaxel,0
S262,Docetaxel,1
S263,Docetaxel,1
S264,Docetaxel,1
S265,Docetaxel,0
S266,Docetaxel,0
S267,Docetaxel,1
S268,Docetaxel,0
S269,Docetaxel,1
S270,Docetaxel,1
S271,Docetaxel,1
S272,Docetaxel,0
S273,Docetaxel,0
S274,Docetaxel,0
S275,Docetaxel,1
S276,Docetaxel,1
S277,Docetaxel,0
S278,Docetaxel,1
S279,Docetaxel,0
S280,Docetaxel,1
S281,Docetaxel,1
S282,Docetaxel,0
S283,Docetaxel,1
S284,Docetaxel,0
S285,Docetaxel,1
S286,Docetaxel,1
S287,Docetaxel,0
S288,Docetaxel,1
S289,Docetaxel,1
S290,Docetaxel,0
S291,Docetaxel,0
S292,Docetaxel,0
S293,Docetaxel,0
S294,Docetaxel,0
S295,Docetaxel,1
S296,Docetaxel,1
S297,Docetaxel,0
S298,Docetaxel,1
S299,Docetaxel,0
